toi,tid
1135.01,154872375
1136.01,142276270
1136.02,142276270
1136.03,142276270
1136.04,142276270
1173.01,232967440
1174.01,154089169
1180.01,158002130
1181.01,229510866
1184.01,233087860
1194.01,147950620
1199.01,99869022
1201.01,29960110
1203.01,23434737
1221.01,349095149
1227.01,360156606
1228.01,300038935
1230.01,287156968
1231.01,447061717
1235.01,103633434
1239.01,154716798
1244.01,219850915
1246.01,230127302
1246.02,230127302
1246.03,230127302
1246.04,230127302
1247.01,232540264
1248.01,232612416
1249.01,232976128
1259.01,288735205
1266.01,467179528
1266.02,467179528
1269.01,198241702
1272.01,417948359
1273.01,445859771
1278.01,163539739
1279.01,224297258
1288.01,365733349
1294.01,219015370
1295.01,219852584
1296.01,219854185
1298.01,237104103
1301.01,356867115
1347.01,229747848
1347.02,229747848
1386.01,343019899
1406.01,231736113
1408.01,364186197
1410.01,199444169
1411.01,116483514
1416.01,158025009
1417.01,164173105
1420.01,321857016
1422.01,333473672
1430.01,293954617
1437.01,198356533
1439.01,232982558
1442.01,235683377
1443.01,237232044
1444.01,258514800
1448.01,343628284
1450.01,377293776
1451.01,417931607
1452.01,420112589
1453.01,198390247
1453.02,198390247
1456.01,199376584
1462.01,188768068
1467.01,240968774
1468.01,243185500
1468.02,243185500
1470.01,284441182
1471.01,306263608
1471.02,306263608
1472.01,306955329
1473.01,352413427
1478.01,409794137
1494.01,411608801
1516.01,376637093
1518.01,427761355
1601.01,139375960
1605.01,101037590
1630.01,317597583
1634.01,201186294
1640.01,396562848
1659.01,288631580
1669.01,428679607
1680.01,259168516
1683.01,58542531
1685.01,28900646
1690.01,267574918
1691.01,268334473
1693.01,353475866
1694.01,396740648
1695.01,422756130
1696.01,470381900
1710.01,445805961
1716.01,14336130
1723.01,71431780
1726.01,130181866
1726.02,130181866
1728.01,285048486
1736.01,408618999
1739.01,159418353
1742.01,219857012
1744.01,229455001
1749.01,233602827
1749.02,233602827
1751.01,287080092
1753.01,289580577
1758.01,367858035
1768.01,137906197
1772.01,85293053
1774.01,4897275
1775.01,9348006
1776.01,21535395
1777.01,29191624
1778.01,39699648
1782.01,160045097
1782.02,160045097
118.01,266980320
120.01,394137592
122.01,231702397
123.01,290131778
127.01,234523599
128.01,391949880
129.01,201248411
130.01,263003176
132.01,89020549
134.01,234994474
136.01,410153553
139.01,62483237
144.01,261136679
148.01,393940766
150.01,271893367
157.01,140691463
169.01,183120439
172.01,29857954
175.01,307210830
175.02,307210830
175.03,307210830
177.01,262530407
179.01,207141131
181.01,76923707
186.01,279741379
186.02,279741379
193.01,183985250
197.01,441462736
199.01,309792357
206.01,55650590
220.01,150098860
237.01,305048087
238.01,9006668
244.01,118327550
251.01,224225541
257.01,200723869
260.01,37749396
261.01,63898957
261.02,63898957
262.01,70513361
263.01,120916706
266.01,164767175
266.02,164767175
269.01,220479565
270.01,259377017
270.02,259377017
270.03,259377017
277.01,439456714
286.01,150030205
286.02,150030205
294.01,188570092
329.01,169765334
332.01,139285832
402.01,120896927
402.02,120896927
406.01,153065527
406.02,153065527
411.01,100990000
411.02,100990000
431.01,31374837
431.02,31374837
442.01,70899085
444.01,179034327
448.01,1528696
455.01,98796344
461.01,4646810
469.01,33692729
470.01,37770169
480.01,317548889
481.01,339672028
488.01,452866790
500.01,134200185
503.01,186812530
509.01,453211454
509.02,453211454
512.01,119292328
515.01,366622912
530.01,387690507
532.01,144700903
540.01,200322593
544.01,50618703
552.01,44737596
554.01,407966340
554.02,407966340
555.01,170849515
558.01,207110080
559.01,209459275
560.01,101011575
560.02,101011575
562.01,413248763
564.01,1003831
569.01,123482865
576.01,408310006
603.01,262746281
615.01,190496853
620.01,296739893
622.01,83092282
624.01,399870368
625.01,379929661
626.01,65412605
629.01,293853437
640.01,147977348
652.01,22221375
654.01,35009898
657.01,48103627
663.01,54962195
663.02,54962195
663.03,54962195
669.01,124573851
672.01,151825527
677.01,280206394
682.01,429304876
700.01,150428135
700.02,150428135
700.03,150428135
700.04,150428135
704.01,260004324
712.01,150151262
712.02,150151262
712.04,150151262
715.01,271971130
730.01,11561667
731.01,34068865
732.01,36724087
732.02,36724087
733.01,106402532
736.01,181804752
736.02,181804752
737.01,219189765
755.01,73228647
757.01,130924120
762.01,178709444
763.01,178819686
763.02,178819686
771.01,277634430
776.01,306996324
776.02,306996324
778.01,335630746
782.01,429358906
784.01,460984940
813.01,55525572
815.01,102840239
822.02,127530399
824.01,193641523
833.01,362249359
836.01,440887364
836.02,440887364
849.01,33595516
858.01,198008005
871.01,219344917
880.02,34077285
892.01,66561343
904.01,261257684
904.02,261257684
905.01,261867566
907.01,305424003
908.01,350153977
910.01,369327947
913.01,407126408
942.01,146520535
954.01,44792534
969.01,280437559
1052.01,317060587
1054.01,366989877
1055.01,320004517
1062.01,299799658
1064.01,79748331
1064.02,79748331
1073.01,158297421
1075.01,351601843
1078.01,370133522
1097.01,360630575
1097.02,360630575
1098.01,383390264
1107.01,394561119
2406.01,212957629
2411.01,10837041
2416.01,237922465
2420.01,268532343
2421.01,70524163
2427.01,142937186
2445.01,439867639
2447.01,1167538
2458.01,449197831
2459.01,192790476
2485.01,328934463
2497.01,97568467
2498.01,263179590
2524.01,169249234
2525.01,149601126
2525.02,149601126
2529.01,269333648
2537.01,399967279
2543.01,270604417
2545.01,149845414
2567.01,258920431
2570.01,239816546
2580.01,102713734
2583.01,7548817
2587.01,68007716
2589.01,157698565
2641.01,162802770
2669.01,348835438
2714.01,332534326
1793.01,304142124
1794.01,286916251
1798.01,198153540
1798.02,198153540
1799.01,8967242
1801.01,119584412
1806.01,166648874
1807.01,180695581
1811.01,376524552
1820.01,393831507
1823.01,142381532
1824.01,142387023
1826.01,229400092
1828.01,232982938
1836.01,207468071
1842.01,404505029
1853.01,73540072
1855.01,81247740
1859.01,229742722
1862.01,321668398
1883.01,348755728
1885.01,258510872
1898.01,91987762
1899.01,172370679
1937.01,268301217
1994.01,445903569
2000.01,371188886
2000.02,371188886
2010.01,26547036
2013.01,188589164
2015.01,368287008
2019.01,159781361
2025.01,394050135
2048.01,159873822
2768.01,443556801
2796.01,220076110
2803.01,124379043
2818.01,151483286
2842.01,178162579
2844.01,387342052
2977.01,361343239
2981.01,287145649
3023.01,454248975
3071.01,452006073
3082.01,428699140
2068.01,417931300
2081.01,321669174
2084.01,441738827
2088.01,441765914
2095.01,235678745
2095.02,235678745
2096.01,142748283
2096.02,142748283
2107.01,446549906
2109.01,392476080
2119.01,236387002
2120.01,389900760
2128.01,21832928
2134.01,75878355
2134.02,75878355
2136.01,336128819
2141.01,287256467
2145.01,88992642
2152.01,395393265
2154.01,428787891
2155.01,461591646
2158.01,342642208
2179.01,237913194
2180.01,298663873
2184.01,176956893
2193.01,401604346
2194.01,271478281
2196.01,372172128
2202.01,358107516
2207.01,90850770
2211.01,212253390
2215.01,425561347
2236.01,394722182
2257.01,198485881
2260.01,232568235
2266.01,8348911
2274.01,289164482
2285.01,329148988
2328.01,394287035
2336.01,88902249
2337.01,230001847
2338.01,24358417
2364.01,39414571
2368.01,401125028
2373.01,332558858
2374.01,439366538
2379.01,201177276
2384.01,382602147
3819.01,95660472
3837.01,308073360
3884.01,86263325
3894.01,165464482
3912.01,156648452
3919.01,23769326
3976.01,154293917
3984.01,20182780
4010.01,352682207
4010.02,352682207
4010.03,352682207
4087.01,310002617
4127.01,141488193
4137.01,417646390
4138.01,257060897
4145.01,279947414
4153.01,470171739
4184.01,394357918
4201.01,95057860
4270.01,151920165
4306.01,44898913
4308.01,144193715
4320.01,404518509
4329.01,256722647
4336.01,166184428
4342.01,354944123
4342.02,354944123
4377.01,394918211
4379.01,97766057
4399.01,464646604
4406.01,206541859
4438.01,22233480
4443.01,158241252
4462.01,76420654
4463.01,8599009
4479.01,126606859
3218.01,305739565
3235.01,243641947
3261.01,358070912
3321.01,306648160
3331.01,194795551
3353.01,391903064
3362.01,464300749
3364.01,280655495
3540.01,17865622
3568.01,160390955
3577.01,396133015
3629.01,455784423
3688.01,245509452
3693.01,240823272
3714.01,155867025
3755.01,281196902
3757.01,445751830
3785.01,458419328
3807.01,289661991
5205.01,419411415
5218.01,259172249
5232.01,69356857
5238.01,219016883
5240.01,40055053
5293.01,250111245
5301.01,58825110
5319.01,246965431
5344.01,16005254
5388.01,407591297
5398.01,8260536
5398.02,8260536
5467.01,83275782
4551.01,204650483
4559.01,271169413
4562.01,349576261
4582.01,219854519
4599.01,307809773
4599.02,307809773
4600.01,232608943
4602.01,467651916
4603.01,437856897
4633.01,307958020
4638.01,58824746
4641.01,436873727
4737.01,142532090
4759.01,49705089
4791.01,100389539
4860.01,335590096
4862.01,322807371
4495.01,120826158
4504.01,349972412
4504.02,349972412
4515.01,456862677
4524.01,333657795
4914.01,49254857
4987.01,293607057
4994.01,277128619
5005.01,282485660
5027.01,361711730
5076.01,303432813
5082.01,437011608
5108.01,350348197
5110.01,239977528
5126.01,27064468
5126.02,27064468
5174.01,49428710
5542.01,466206508
5573.01,459762279
5616.01,154220877
5634.01,119585136
5678.01,209464063
5680.01,368739874
5688.01,193634953
125.01,52368076
125.02,52368076
125.03,52368076
135.01,267263253
141.01,403224672
163.01,179317684
174.01,425997655
174.02,425997655
174.03,425997655
174.04,425997655
174.05,425997655
178.01,251848941
178.02,251848941
178.03,251848941
200.01,410214986
201.01,350618622
216.01,55652896
216.02,55652896
282.01,29781292
282.03,29781292
282.04,29781292
396.01,178155732
396.02,178155732
396.03,178155732
421.01,94986319
421.02,94986319
451.01,257605131
451.02,257605131
451.03,257605131
519.01,218795833
561.01,377064495
561.02,377064495
561.03,377064495
628.01,281408474
674.01,158588995
696.01,77156829
696.02,77156829
696.03,77156829
837.01,460205581
1130.01,254113311
1130.02,254113311
1233.01,260647166
1233.02,260647166
1233.03,260647166
1233.04,260647166
1255.01,237222864
1260.01,355867695
1260.02,355867695
1260.03,355867695
1268.01,142394656
1333.01,395171208
1338.01,260128333
1339.01,269701147
1339.02,269701147
1339.03,269701147
1431.01,375506058
1493.01,15692883
1611.01,264678534
1670.01,441739020
1670.02,441739020
1759.01,408636441
1789.01,172518755
1797.01,368435330
1797.02,368435330
1827.01,390651552
1860.01,202426247
2046.01,468574941
5152.01,257527578
5153.01,124029677
2221.01,441420236
5704.01,148673433
5713.01,219041246
5720.01,230055368
5726.01,71582156
2076.02,27491137
5747.01,4918918
2076.01,27491137
5786.01,40292751
5799.01,328081248
5800.01,151759246
5803.01,466382581
5817.01,418604868
2319.01,349488688
5882.01,232941965
6016.01,327369524
6002.01,102734241
6008.01,286201103
6029.01,419523962
6034.01,388076422
6038.01,194736418
6054.01,392681545
6054.02,392681545
2076.03,27491137
6086.01,18318288
2548.02,350293646
5557.01,323687123
6101.01,19342878
6130.01,210083929
6170.01,51637609
6251.01,52005579
6255.01,261135533
815.02,102840239
6275.01,49043968
6276.01,397362481
6276.02,397362481
6383.01,328513434
6442.01,97921547
1099.01,290348383
2018.01,357501308
6508.01,142277868
4600.02,232608943
6628.01,75650448
198.01,12421862
6651.01,174328045
6697.01,441546821
4481.01,239332587
741.01,359271092
6883.01,393818343
6963.01,56658270
4527.01,380887434
6982.01,113921235
1224.01,299798795
1224.02,299798795
486.01,260708537
7041.01,201175570
561.04,377064495
2443.01,318753380
